event_id,event_chain_id,ts_code,event_type,direction,window,car_market_adjusted
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[-1,1]",0.03148668899141998
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[-3,3]",0.07469067846395538
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[0,5]",-0.04027709519148741
C-AN202012311445696507,8db8d3b0a1db26,600038.SH,project_investment,positive,"[0,10]",-0.0887820419567473
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[-1,1]",-0.13457978294691242
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[-3,3]",-0.1727252928231302
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[0,5]",-0.12591616970341243
C-AN202101041446940189,f1d550a7d87305,000099.SZ,project_investment,positive,"[0,10]",-0.11207576153381199
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[-1,1]",-0.005331856966725041
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[-3,3]",-0.0601114418660253
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[0,5]",-0.03909616122705495
C-AN202101121449994977,3e2aedad8c52f2,002085.SZ,project_investment,positive,"[0,10]",-0.10181084676753008
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[-1,1]",-0.08491054079579079
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[-3,3]",-0.1390373658661403
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[0,5]",-0.06502729674310381
C-AN202101131450177702,9e94fead611dea,002389.SZ,project_investment,positive,"[0,10]",-0.1750124984446473
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[-1,1]",-0.0237898066200315
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[-3,3]",0.038780697560618416
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[0,5]",-0.002455463158421309
C-AN202103241475601933,064d07c8c3e73d,000099.SZ,project_investment,positive,"[0,10]",0.016174757647695184
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[-1,1]",0.012486485478400783
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[-3,3]",0.0008137488368657065
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[0,5]",-0.026902982403238643
C-AN202103281477711035,eb3dcc1931c70b,002389.SZ,project_investment,positive,"[0,10]",-0.04506086903007185
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[-1,1]",-0.027303421469168726
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[-3,3]",0.009390792559686906
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[0,5]",-0.00675442752638648
C-AN202103311479250543,b2fe02c8a76197,000099.SZ,project_investment,positive,"[0,10]",0.004858367833873105
C-AN202103311479337199,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[-1,1]",-0.07535667416403044
C-AN202103311479337199,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[-3,3]",-0.051047416688802624
C-AN202103311479337199,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[0,5]",-0.012914202541122115
C-AN202103311479337199,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[0,10]",0.013409877716599235
C-AN202104191486430875,cd3d6b534cc0c9,000099.SZ,strategic_cooperation,positive,"[-1,1]",-0.006624742254817814
C-AN202104191486430875,cd3d6b534cc0c9,000099.SZ,strategic_cooperation,positive,"[-3,3]",-0.04942983958372611
C-AN202104191486430875,cd3d6b534cc0c9,000099.SZ,strategic_cooperation,positive,"[0,5]",-0.09479350398068953
C-AN202104191486430875,cd3d6b534cc0c9,000099.SZ,strategic_cooperation,positive,"[0,10]",-0.05548543294780334
C-AN202104221487054084,b2fe02c8a76197,000099.SZ,project_investment,positive,"[-1,1]",-0.08644402572227308
C-AN202104221487054084,b2fe02c8a76197,000099.SZ,project_investment,positive,"[-3,3]",-0.10696405451473372
C-AN202104221487054084,b2fe02c8a76197,000099.SZ,project_investment,positive,"[0,5]",-0.03400908870092963
C-AN202104221487054084,b2fe02c8a76197,000099.SZ,project_investment,positive,"[0,10]",-0.025511849811047673
C-AN202106071496532496,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[-1,1]",-0.012770920357597061
C-AN202106071496532496,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[-3,3]",0.07643327703325886
C-AN202106071496532496,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[0,5]",0.08203358241225141
C-AN202106071496532496,8898895ecd418f,688070.SH,legal_safety_risk,negative,"[0,10]",0.12242246911554822
C-AN202106171498393365,5d48ec3c84c2bc,002389.SZ,project_investment,positive,"[-1,1]",0.065306684717125
C-AN202106171498393365,5d48ec3c84c2bc,002389.SZ,project_investment,positive,"[-3,3]",0.1118893386888317
C-AN202106171498393365,5d48ec3c84c2bc,002389.SZ,project_investment,positive,"[0,5]",-0.03334380924322016
C-AN202106171498393365,5d48ec3c84c2bc,002389.SZ,project_investment,positive,"[0,10]",-0.0992484319674011
C-AN202106161498304882,de931673d8cb4f,688070.SH,strategic_cooperation,positive,"[-1,1]",0.1684082144151961
C-AN202106161498304882,de931673d8cb4f,688070.SH,strategic_cooperation,positive,"[-3,3]",0.1784518907690196
C-AN202106161498304882,de931673d8cb4f,688070.SH,strategic_cooperation,positive,"[0,5]",0.047372010771847134
C-AN202106161498304882,de931673d8cb4f,688070.SH,strategic_cooperation,positive,"[0,10]",-0.011074478117518181
C-AN202106211499138833,b99d44e10e8d01,002085.SZ,project_investment,positive,"[-1,1]",0.02575895193015705
C-AN202106211499138833,b99d44e10e8d01,002085.SZ,project_investment,positive,"[-3,3]",-0.025130712229599242
C-AN202106211499138833,b99d44e10e8d01,002085.SZ,project_investment,positive,"[0,5]",-0.07114865464096182
C-AN202106211499138833,b99d44e10e8d01,002085.SZ,project_investment,positive,"[0,10]",-0.06696090739586748
C-AN202106301500933872,c694e443cec4d9,000099.SZ,project_investment,positive,"[-1,1]",0.01892600460676376
C-AN202106301500933872,c694e443cec4d9,000099.SZ,project_investment,positive,"[-3,3]",0.003896566013045456
C-AN202106301500933872,c694e443cec4d9,000099.SZ,project_investment,positive,"[0,5]",0.05839344292871747
C-AN202106301500933872,c694e443cec4d9,000099.SZ,project_investment,positive,"[0,10]",0.07726068176075927
C-AN202107211505194036,a7ed070fd59752,000099.SZ,government_support,positive,"[-1,1]",0.06777256194233852
C-AN202107211505194036,a7ed070fd59752,000099.SZ,government_support,positive,"[-3,3]",0.054147391547931134
C-AN202107211505194036,a7ed070fd59752,000099.SZ,government_support,positive,"[0,5]",0.027459591593348466
C-AN202107211505194036,a7ed070fd59752,000099.SZ,government_support,positive,"[0,10]",0.03157411656792959
C-AN202107221505426882,3d38628d8b9e98,002389.SZ,strategic_cooperation,positive,"[-1,1]",0.08007723989101176
C-AN202107221505426882,3d38628d8b9e98,002389.SZ,strategic_cooperation,positive,"[-3,3]",-0.008374328021284027
C-AN202107221505426882,3d38628d8b9e98,002389.SZ,strategic_cooperation,positive,"[0,5]",0.04665814199117297
C-AN202107221505426882,3d38628d8b9e98,002389.SZ,strategic_cooperation,positive,"[0,10]",0.18083531515782464
C-AN202108201511232306,fcd90127487f82,600038.SH,market_risk,negative,"[-1,1]",0.0016713218854512366
C-AN202108201511232306,fcd90127487f82,600038.SH,market_risk,negative,"[-3,3]",0.2182564996651537
C-AN202108201511232306,fcd90127487f82,600038.SH,market_risk,negative,"[0,5]",-0.07342385176686347
C-AN202108201511232306,fcd90127487f82,600038.SH,market_risk,negative,"[0,10]",-0.18671764466531482
C-AN202109061514610603,cb97e147c8c9b8,002389.SZ,project_investment,positive,"[-1,1]",-0.002432586222404446
C-AN202109061514610603,cb97e147c8c9b8,002389.SZ,project_investment,positive,"[-3,3]",-0.055395920563696105
C-AN202109061514610603,cb97e147c8c9b8,002389.SZ,project_investment,positive,"[0,5]",-0.06723755010600771
C-AN202109061514610603,cb97e147c8c9b8,002389.SZ,project_investment,positive,"[0,10]",-0.07313598045967407
C-AN202201031538304399,d06ec40aeb8290,000801.SZ,project_investment,positive,"[-1,1]",-0.0008659700330607943
C-AN202201031538304399,d06ec40aeb8290,000801.SZ,project_investment,positive,"[-3,3]",0.003456854541639575
C-AN202201031538304399,d06ec40aeb8290,000801.SZ,project_investment,positive,"[0,5]",-0.024383856540952847
C-AN202201031538304399,d06ec40aeb8290,000801.SZ,project_investment,positive,"[0,10]",-0.03367412315046991
C-AN202201051538613576,a7ed070fd59752,000099.SZ,government_support,positive,"[-1,1]",-0.019479752785229613
C-AN202201051538613576,a7ed070fd59752,000099.SZ,government_support,positive,"[-3,3]",-0.0005853930596968976
C-AN202201051538613576,a7ed070fd59752,000099.SZ,government_support,positive,"[0,5]",-0.04449125771969423
C-AN202201051538613576,a7ed070fd59752,000099.SZ,government_support,positive,"[0,10]",-0.10861784408097572
C-AN202202231548709008,268086a225892a,600038.SH,project_investment,positive,"[-1,1]",0.032026755926612936
C-AN202202231548709008,268086a225892a,600038.SH,project_investment,positive,"[-3,3]",0.0729037186928126
C-AN202202231548709008,268086a225892a,600038.SH,project_investment,positive,"[0,5]",-0.029570620916536547
C-AN202202231548709008,268086a225892a,600038.SH,project_investment,positive,"[0,10]",-0.05736595822184473
C-AN202202281549725953,0515841eeb8b26,600038.SH,project_investment,positive,"[-1,1]",-0.01689789432748353
C-AN202202281549725953,0515841eeb8b26,600038.SH,project_investment,positive,"[-3,3]",-0.020636954020101406
C-AN202202281549725953,0515841eeb8b26,600038.SH,project_investment,positive,"[0,5]",-0.075740367143609
C-AN202202281549725953,0515841eeb8b26,600038.SH,project_investment,positive,"[0,10]",-0.07591464490402904
C-AN202203141552614058,3aa90034c6dd24,002389.SZ,project_investment,positive,"[-1,1]",-0.035395296392011326
C-AN202203141552614058,3aa90034c6dd24,002389.SZ,project_investment,positive,"[-3,3]",0.019512407537193126
C-AN202203141552614058,3aa90034c6dd24,002389.SZ,project_investment,positive,"[0,5]",0.009115001140228892
C-AN202203141552614058,3aa90034c6dd24,002389.SZ,project_investment,positive,"[0,10]",-0.03979560140795432
C-AN202204061557651847,e18aa1bf5a5be2,002389.SZ,order_contract,positive,"[-1,1]",-0.06482491005017776
C-AN202204061557651847,e18aa1bf5a5be2,002389.SZ,order_contract,positive,"[-3,3]",-0.1282848141109333
C-AN202204061557651847,e18aa1bf5a5be2,002389.SZ,order_contract,positive,"[0,5]",-0.09655074771420544
C-AN202204061557651847,e18aa1bf5a5be2,002389.SZ,order_contract,positive,"[0,10]",-0.14033046992507114
C-AN202204131559040871,be87eaf7a269af,002085.SZ,project_investment,positive,"[-1,1]",0.02148515683686989
C-AN202204131559040871,be87eaf7a269af,002085.SZ,project_investment,positive,"[-3,3]",0.050539262321339234
C-AN202204131559040871,be87eaf7a269af,002085.SZ,project_investment,positive,"[0,5]",-0.014518719018464108
C-AN202204131559040871,be87eaf7a269af,002085.SZ,project_investment,positive,"[0,10]",-0.03562716578228031
C-AN202204251561508387,e3e46bfe326023,002085.SZ,project_investment,positive,"[-1,1]",-0.0495576086792954
C-AN202204251561508387,e3e46bfe326023,002085.SZ,project_investment,positive,"[-3,3]",0.076032470943956
C-AN202204251561508387,e3e46bfe326023,002085.SZ,project_investment,positive,"[0,5]",0.3151288488531612
C-AN202204251561508387,e3e46bfe326023,002085.SZ,project_investment,positive,"[0,10]",0.34893849091047446
C-AN202212231581330864,5c491c1c25abeb,600038.SH,project_investment,positive,"[-1,1]",-0.049029206454813096
C-AN202212231581330864,5c491c1c25abeb,600038.SH,project_investment,positive,"[-3,3]",-0.07365777902310211
C-AN202212231581330864,5c491c1c25abeb,600038.SH,project_investment,positive,"[0,5]",-0.05691871978832159
C-AN202212231581330864,5c491c1c25abeb,600038.SH,project_investment,positive,"[0,10]",0.005935701857764042
C-AN202212301581531280,a69701c577b365,600038.SH,project_investment,positive,"[-1,1]",-0.049029206454813096
C-AN202212301581531280,a69701c577b365,600038.SH,project_investment,positive,"[-3,3]",-0.07365777902310211
C-AN202212301581531280,a69701c577b365,600038.SH,project_investment,positive,"[0,5]",-0.05691871978832159
C-AN202212301581531280,a69701c577b365,600038.SH,project_investment,positive,"[0,10]",0.005935701857764042
C-AN202301021581629275,81e9778a64f80f,002389.SZ,order_contract,positive,"[-1,1]",-0.0011186286074178313
C-AN202301021581629275,81e9778a64f80f,002389.SZ,order_contract,positive,"[-3,3]",-0.029753453170360274
C-AN202301021581629275,81e9778a64f80f,002389.SZ,order_contract,positive,"[0,5]",-0.09572136218115379
C-AN202301021581629275,81e9778a64f80f,002389.SZ,order_contract,positive,"[0,10]",-0.07443665782972184
C-AN202301061581766041,46c34b611368e6,600038.SH,project_investment,positive,"[-1,1]",-0.049029206454813096
C-AN202301061581766041,46c34b611368e6,600038.SH,project_investment,positive,"[-3,3]",-0.07365777902310211
C-AN202301061581766041,46c34b611368e6,600038.SH,project_investment,positive,"[0,5]",-0.05691871978832159
C-AN202301061581766041,46c34b611368e6,600038.SH,project_investment,positive,"[0,10]",0.005935701857764042
C-AN202301091581821407,7dc7155dc0a589,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821407,7dc7155dc0a589,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821407,7dc7155dc0a589,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821407,7dc7155dc0a589,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821417,4cdd7f8ce9f8a6,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821417,4cdd7f8ce9f8a6,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821417,4cdd7f8ce9f8a6,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821417,4cdd7f8ce9f8a6,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821412,31766a68d1621b,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821412,31766a68d1621b,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821412,31766a68d1621b,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821412,31766a68d1621b,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821419,729a6aa52af0d2,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821419,729a6aa52af0d2,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821419,729a6aa52af0d2,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821419,729a6aa52af0d2,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821404,f40cc43b461a28,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821404,f40cc43b461a28,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821404,f40cc43b461a28,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821404,f40cc43b461a28,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821420,5d5300f95d3cd9,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821420,5d5300f95d3cd9,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821420,5d5300f95d3cd9,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821420,5d5300f95d3cd9,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821421,7419477cc1e9cb,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821421,7419477cc1e9cb,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821421,7419477cc1e9cb,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821421,7419477cc1e9cb,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821401,6238fb3c3edc84,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821401,6238fb3c3edc84,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821401,6238fb3c3edc84,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821401,6238fb3c3edc84,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301091581821418,007dc124a895f4,600038.SH,project_investment,positive,"[-1,1]",-0.06465139952179387
C-AN202301091581821418,007dc124a895f4,600038.SH,project_investment,positive,"[-3,3]",-0.05738435357636014
C-AN202301091581821418,007dc124a895f4,600038.SH,project_investment,positive,"[0,5]",-0.04319375286403376
C-AN202301091581821418,007dc124a895f4,600038.SH,project_investment,positive,"[0,10]",0.008179253675463252
C-AN202301131581971819,a5835219a6abf6,688297.SH,performance,mixed,"[-1,1]",0.0015585999312571
C-AN202301131581971819,a5835219a6abf6,688297.SH,performance,mixed,"[-3,3]",0.015118699745514766
C-AN202301131581971819,a5835219a6abf6,688297.SH,performance,mixed,"[0,5]",0.05603210321502581
C-AN202301131581971819,a5835219a6abf6,688297.SH,performance,mixed,"[0,10]",0.08599811461650748
C-AN202302071582851573,a7ed070fd59752,000099.SZ,government_support,positive,"[-1,1]",0.006631415019863592
C-AN202302071582851573,a7ed070fd59752,000099.SZ,government_support,positive,"[-3,3]",0.016841128800674857
C-AN202302071582851573,a7ed070fd59752,000099.SZ,government_support,positive,"[0,5]",-0.0013293734987863508
C-AN202302071582851573,a7ed070fd59752,000099.SZ,government_support,positive,"[0,10]",0.02182822463681395
C-AN202302081582895316,6a4e136ce98fca,600038.SH,project_investment,positive,"[-1,1]",-3.7891890642910084e-05
C-AN202302081582895316,6a4e136ce98fca,600038.SH,project_investment,positive,"[-3,3]",-0.02154778092370377
C-AN202302081582895316,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,5]",-0.02358236382022727
C-AN202302081582895316,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,10]",-0.005059520265626567
C-AN202303091584155674,6a4e136ce98fca,600038.SH,project_investment,positive,"[-1,1]",0.009969114123670112
C-AN202303091584155674,6a4e136ce98fca,600038.SH,project_investment,positive,"[-3,3]",-0.0007654073833459792
C-AN202303091584155674,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,5]",-0.030764163843778156
C-AN202303091584155674,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,10]",-0.04516320134635597
C-AN202304071585223869,6a4e136ce98fca,600038.SH,project_investment,positive,"[-1,1]",0.003457905386571776
C-AN202304071585223869,6a4e136ce98fca,600038.SH,project_investment,positive,"[-3,3]",-0.002630260215982585
C-AN202304071585223869,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,5]",-0.015888518614151134
C-AN202304071585223869,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,10]",-0.004437126329966656
C-AN202304131585425626,eb64fb6a73cef4,600038.SH,project_investment,positive,"[-1,1]",-0.012132296006199398
C-AN202304131585425626,eb64fb6a73cef4,600038.SH,project_investment,positive,"[-3,3]",-0.02255223876611553
C-AN202304131585425626,eb64fb6a73cef4,600038.SH,project_investment,positive,"[0,5]",0.0012852603186681282
C-AN202304131585425626,eb64fb6a73cef4,600038.SH,project_investment,positive,"[0,10]",0.01011531411478713
C-AN202304271585951470,e013a826915c97,688070.SH,project_investment,positive,"[-1,1]",0.03819581863531469
C-AN202304271585951470,e013a826915c97,688070.SH,project_investment,positive,"[-3,3]",0.020895903827846285
C-AN202304271585951470,e013a826915c97,688070.SH,project_investment,positive,"[0,5]",-0.03219965365649577
C-AN202304271585951470,e013a826915c97,688070.SH,project_investment,positive,"[0,10]",0.038176427209461385
C-AN202304271585951469,7e22f4a023a120,688070.SH,project_investment,positive,"[-1,1]",0.03819581863531469
C-AN202304271585951469,7e22f4a023a120,688070.SH,project_investment,positive,"[-3,3]",0.020895903827846285
C-AN202304271585951469,7e22f4a023a120,688070.SH,project_investment,positive,"[0,5]",-0.03219965365649577
C-AN202304271585951469,7e22f4a023a120,688070.SH,project_investment,positive,"[0,10]",0.038176427209461385
C-AN202305081586379930,6a4e136ce98fca,600038.SH,project_investment,positive,"[-1,1]",-0.005676734337095084
C-AN202305081586379930,6a4e136ce98fca,600038.SH,project_investment,positive,"[-3,3]",-0.012451525774751329
C-AN202305081586379930,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,5]",-0.0178519244821527
C-AN202305081586379930,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,10]",-0.04979114218300565
C-AN202306011587464512,516e4ec8912886,688070.SH,product_technology,positive,"[-1,1]",-0.06388016189074443
