event_id,art_code,ts_code,name,event_date,title,event_type,direction,intensity,uncertainty,relevance,is_initial_event,event_chain_key,evidence_span,confidence,evidence_match_score,evidence_grounded,rule_event_type,rule_relevance,accepted,review_status,label_source
C-AN202012311445696507,AN202012311445696507,600038.SH,中直股份,2021-01-04,600038:中航直升机股份有限公司关于中国航空科技工业股份有限公司以发行内资股方式收购事项完成的公告,other_business,neutral,1,1,0.0,False,中航科工收购中直股份股权完成,"""本次收购的交割及内资股发行已完成……中航科工间接增持本公司16.03%股份，合计直接和间接持有本公司50.80%股份""",0.9,1.0,True,project_investment,1.0,False,adjudicated_sample,codex_assisted_adjudication
C-AN202101041446940189,AN202101041446940189,000099.SZ,中信海直,2021-01-05,中信海直:关于设立中信海直青岛通用航空服务有限公司的公告,project_investment,positive,3,2,0.8,True,设立青岛通航子公司,"""设立中信海直青岛通用航空服务有限公司，注册资本1000万元……公司董事会已审议通过""",0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202101121449994977,AN202101121449994977,002085.SZ,万丰奥威,2021-01-13,万丰奥威:关于子公司飞机工业设立全资子公司的公告,project_investment,positive,3,2,0.9,True,子公司飞机工业设立全资子公司,飞机工业拟在浙江新昌投资设立全资子公司,0.9,0.9103448275862068,True,project_investment,0.55,True,adjudicated_sample,independent_annotator_consensus
C-AN202101131450177702,AN202101131450177702,002389.SZ,航天彩虹,2021-01-13,航天彩虹:关于收到《中国证监会行政许可项目审查一次反馈意见通知书》的公告,other_business,neutral,1,5,0.0,True,非公开发行股票反馈意见,公司本次非公开发行A股股票事项尚需获得中国证监会核准，能否获得核准尚存在不确定性。,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202103241475601933,AN202103241475601933,000099.SZ,中信海直,2021-03-25,中信海直:关于拟通过公开摘牌方式收购华夏九州通用航空有限公司51%股权的公告,project_investment,positive,3,4,0.8,True,收购华夏九州通用航空51%股权,公司拟通过公开摘牌方式受让该挂牌股权,0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,independent_annotator_consensus
C-AN202103281477711035,AN202103281477711035,002389.SZ,航天彩虹,2021-03-29,航天彩虹:关于《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复的公告,other_business,neutral,1,5,0.0,True,非公开发行股票反馈意见回复,公司本次非公开发行A股股票事项尚需获得中国证监会核准，能否获得核准尚存在不确定性。,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202103311479250543,AN202103311479250543,000099.SZ,中信海直,2021-04-01,中信海直:关于公开摘牌方式收购华夏九州通用航空有限公司51%股权的进展公告,project_investment,positive,4,2,0.8,False,收购华夏九州51%股权,同日公 司与江西长运、南昌高航签署了《产权交易合同》,0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,independent_annotator_consensus
C-AN202103311479337199,AN202103311479337199,688070.SH,纵横股份,2021-04-01,688070:关于诉讼进展的公告,legal_risk,mixed,3,4,0.5,False,雄安远度专利侵权诉讼,"""原告河北雄安远度科技有限公司提起上诉五个案件，其中已撤诉四个案件，剩余一个案件处于一审审理中""",0.9,1.0,True,legal_safety_risk,0.55,True,adjudicated_sample,codex_assisted_adjudication
C-AN202104191486430875,AN202104191486430875,000099.SZ,中信海直,2021-04-20,中信海直:关于与自贡市人民政府签订战略合作协议的公告,strategic_cooperation,positive,3,4,0.8,True,与自贡市政府战略合作,"""本次签署的《战略合作协议》属框架性协议……对于合作的具体事项需另行协商，签订专项协议后进行""",0.9,1.0,True,strategic_cooperation,0.6000000000000001,True,adjudicated_sample,codex_assisted_adjudication
C-AN202104221487054084,AN202104221487054084,000099.SZ,中信海直,2021-04-23,中信海直:关于公开摘牌方式收购华夏九州通用航空有限公司51%股权的进展公告,other_business,neutral,1,1,0.0,False,收购华夏九州通用航空有限公司51%股权,公司通过公开摘牌方式收购华夏九州通用航空有限公司51%股权的工商变更备案登记手续已于2021年4月21日办理完毕。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202106071496532496,AN202106071496532496,688070.SH,纵横股份,2021-06-08,688070:关于诉讼进展的公告,legal_risk,positive,3,1,0.0,False,专利侵权诉讼撤诉,雄安远度诉纵横股份及大鹏无人机专利侵权纠纷 5 个案 件已全部撤诉,0.9,0.6590909090909091,False,legal_safety_risk,0.5,True,adjudicated_sample,codex_assisted_adjudication
C-AN202106171498393365,AN202106171498393365,002389.SZ,航天彩虹,2021-06-17,航天彩虹:关于《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复修订的公告,other_business,neutral,1,3,0.0,True,非公开发行股票反馈意见回复修订,"""公司本次非公开发行 A 股股票事项尚需获得中国证监会核准，能否获得核准尚存在不确定性""",0.9,1.0,True,project_investment,0.5,False,adjudicated_sample,codex_assisted_adjudication
C-AN202106161498304882,AN202106161498304882,688070.SH,纵横股份,2021-06-17,688070:关于与华鹏飞股份有限公司签订战略合作框架协议的自愿性披露公告,strategic_cooperation,positive,3,5,0.8,True,纵横股份与华鹏飞战略合作框架协议,"""签订战略合作框架协议……不涉及具体金额……具体合作内容和进度将根据双方后续工作步骤进一步落实和推进""",0.9,0.8372093023255814,True,strategic_cooperation,0.5,True,adjudicated_sample,codex_assisted_adjudication
C-AN202106211499138833,AN202106211499138833,002085.SZ,万丰奥威,2021-06-22,万丰奥威:关于奥地利钻石设立全资子公司并投资年产220架钻石飞机项目的公告,project_investment,positive,4,3,0.9,True,青岛年产220架钻石飞机项目,"""项目投资总额 20,000 万元……项目建成达产后预计销售收入 12.8 亿元/年，净利润 1.7 亿元/年""",0.9,1.0,True,project_investment,0.75,True,adjudicated_sample,codex_assisted_adjudication
C-AN202106301500933872,AN202106301500933872,000099.SZ,中信海直,2021-07-01,中信海直:关于设立公司债券信息披露事务负责人的公告,other_business,neutral,1,1,0.0,True,设立债券信息披露事务负责人,根据《公司债券发行与交易管理办法》《银行间债券市场非金融企业债务融资工具信息披露规则》(2021版）及《中信海洋直升机股份有限公司章程》等有关规定，现设立中信海洋直升机股份有限公司（以下简称“公司”）债券信息披露事务负责人,1.0,0.95,True,project_investment,0.6000000000000001,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202107211505194036,AN202107211505194036,000099.SZ,中信海直,2021-07-22,中信海直:关于控股子公司海直通航获得2021年通用航空发展专项资金的公告,government_support,positive,3,1,0.8,True,海直通航获通用航空发展专项资金,"""海直通航收到2021年通用航空发展专项资金补贴15,970,000元""",0.9,1.0,True,government_support,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202107221505426882,AN202107221505426882,002389.SZ,航天彩虹,2021-07-23,航天彩虹:关于与长沙市人民政府签署《彩虹无人机通用航空产业化项目合作框架协议》的公告,strategic_cooperation,positive,3,5,0.9,True,彩虹无人机通用航空产业化项目合作框架协议,"""本次签署的合作协议属于框架性协议，具体项目实施需要签订相关正式的协议或合同……存在一定的不确定性""",0.8,0.7467811158798283,False,strategic_cooperation,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202108201511232306,AN202108201511232306,600038.SH,中直股份,2021-08-21,600038:中航直升机股份有限公司股票交易异常波动公告,other_business,neutral,1,1,0.0,True,股票交易异常波动公告,经本公司自查并向控股股东和实际控制人发函询证，截至本公告披露日，公司不存在应披露而未披露的重大信息。,0.9,0.98,True,market_risk,0.7500000000000001,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202109061514610603,AN202109061514610603,002389.SZ,航天彩虹,2021-09-07,航天彩虹:关于投资年产1.4亿平方米功能性光学薄膜材料建设项目的公告,project_investment,positive,3,3,0.0,True,年产1.4亿平方米功能性光学薄膜材料建设项目,关于投资年产1.4亿平方米功能性光学薄膜材料建设项目的公告,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202201031538304399,AN202201031538304399,000801.SZ,四川九洲,2022-01-04,四川九洲:四川九洲关于控股子公司参与设立投资基金暨关联交易的公告,other_business,neutral,1,5,0.0,True,控股子公司参与设立投资基金,公司控股子公司深圳市九洲电器有限公司拟与四川九洲投资控股集团有限公司、四川九洲创业投资有限责任公司、四川九洲君合股权投资基金管理有限公司签订《九洲君信投资基金合伙企业（有限合伙）合伙协议》，拟共同投资设立九洲君信投资基金合伙企业（有限合伙）。,0.9,0.6173469387755102,False,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202201051538613576,AN202201051538613576,000099.SZ,中信海直,2022-01-06,中信海直:关于控股子公司海直通航获得2022年通用航空发展专项资金的公告,government_support,positive,3,1,0.8,True,海直通航获2022年通用航空发展专项资金,"""海直通航收到2022年通用航空发展专项资金补贴27,540,000元""",0.9,1.0,True,government_support,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202202231548709008,AN202202231548709008,600038.SH,中直股份,2022-02-24,600038:中航直升机股份有限公司收购报告书摘要,other_business,neutral,1,1,0.0,True,中直股份收购报告书摘要,"""本次收购在同一实际控制人控制的不同主体之间进行，未导致上市公司的实际控制人发生变化""",0.9,1.0,True,project_investment,1.0,False,adjudicated_sample,codex_assisted_adjudication
C-AN202202281549725953,AN202202281549725953,600038.SH,中直股份,2022-03-01,600038:中航直升机股份有限公司收购报告书,other_business,neutral,1,1,0.0,True,内部资产划转收购,本次收购系中航科工及其全资子公司哈航集团、中直有限的内部资产划转,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202203141552614058,AN202203141552614058,002389.SZ,航天彩虹,2022-03-15,航天彩虹:关于控股子公司投资年产5000万平方米反射膜生产线工程建设项目的进展公告,other_business,neutral,1,1,0.0,False,反射膜生产线项目投资,关于控股子公司投资年产5000万平方米反射膜生产线工程建设项目的进展公告,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202204061557651847,AN202204061557651847,002389.SZ,航天彩虹,2022-04-07,航天彩虹:关于中标四川省林业和草原局航空消防服务项目的提示性公告,order_contract,positive,3,2,0.8,True,中标四川省航空消防服务项目,"""中标金额总计1183.12万元……项目如能顺利实施，预计将对公司无人机民用业务的经营业绩产生积极影响""",0.9,1.0,True,order_contract,0.6000000000000001,True,adjudicated_sample,codex_assisted_adjudication
C-AN202204131559040871,AN202204131559040871,002085.SZ,万丰奥威,2022-04-14,万丰奥威:关于年产220架钻石飞机项目变更投资主体等相关事项的公告,project_investment,positive,3,2,0.8,False,年产220架钻石飞机项目,"同意公司年产220架钻石飞机项目的投资主体由奥地利钻石变更为公司子公司奥地利钻石管理有限公司，新设立公司注册资本由15,000万人民币变更为2,000万欧元。",0.9,0.95,True,project_investment,0.5,True,not_human_reviewed,deepseek_evidence_filtered
C-AN202204251561508387,AN202204251561508387,002085.SZ,万丰奥威,2022-04-26,万丰奥威:关于年产220架钻石飞机项目实施主体设立的进展公告,project_investment,positive,3,2,0.9,False,年产220架钻石飞机项目,"同意公司子公司奥地利钻石飞机工业有限公司在青岛设立全资子公司并投资年产220架钻石飞机项目，项目投资总额20,000万元",0.9,0.4545454545454545,False,project_investment,0.55,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202212231581330864,AN202212231581330864,600038.SH,中直股份,2022-12-24,中直股份:中航直升机股份有限公司关于筹划重大资产重组事项的停牌公告,other_business,neutral,1,5,0.0,True,筹划重大资产重组,中航科工正在筹划涉及公司的重大资产重组事项。公司拟发行股份购买昌河飞机工业（集团）有限责任公司100%股权、哈尔滨飞机工业集团有限责任公司100%股权并募集配套资金。,0.9,0.95,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202212301581531280,AN202212301581531280,600038.SH,中直股份,2022-12-31,中直股份:中航直升机股份有限公司关于筹划重大资产重组的停牌进展公告(2022/12/31),project_investment,positive,4,4,0.0,False,筹划重大资产重组,"""拟发行股份购买昌河飞机工业（集团）有限责任公司 100%股权、哈尔滨飞机工业集团有限责任公司 100%股权……本次重组尚处于筹划阶段，存在不确定性""",0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202301021581629275,AN202301021581629275,002389.SZ,航天彩虹,2023-01-03,航天彩虹:关于签署无人机销售合同暨关联交易的公告,order_contract,positive,4,2,0.8,True,无人机销售合同,"""合同金额约为 6000 万美元……本销售合同顺利履行将对公司经营业绩产生积极的影响""",0.9,1.0,True,order_contract,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202301061581766041,AN202301061581766041,600038.SH,中直股份,2023-01-07,中直股份:中航直升机股份有限公司关于筹划重大资产重组的停牌进展公告(2023/01/07),other_business,neutral,1,5,0.0,False,筹划重大资产重组,中航直升机股份有限公司（以下简称“公司”或“上市公司”）正在筹划重大资产重组事项，拟发行股份购买昌河飞机工业（集团）有限责任公司100%股权、哈尔滨飞机工业集团有限责任公司100%股权。,0.9,0.95,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821407,AN202301091581821407,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次重大资产重组履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,other_business,neutral,1,1,0.0,True,重大资产重组程序说明,中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司100%股权并募集配套资金,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821417,AN202301091581821417,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条及第四十三条规定的说明,other_business,neutral,1,1,0.0,True,重大资产重组合规说明,中航直升机股份有限公司（以下简称“公司”或“上市公司”）拟发行股份购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司（以下简称“标的公司”）100%股权并募集配套资金,0.9,1.0,True,project_investment,0.55,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821412,AN202301091581821412,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司关于披露重组预案的一般风险提示暨公司股票复牌公告,project_investment,mixed,3,4,0.0,True,中直股份重组预案,"""重组预案披露……本次交易相关各方推进本次交易事项尚需履行必要的内部决策程序，并需经有权监管机构批准""",0.9,1.0,True,project_investment,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202301091581821419,AN202301091581821419,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次重大资产重组不构成重组上市的说明,other_business,neutral,1,1,0.0,True,重大资产重组不构成重组上市说明,本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821404,AN202301091581821404,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号—上市公司重大资产重组相关股票异常交易监管》第十三条规定情形的说明,other_business,neutral,1,1,0.0,True,重大资产重组合规说明,中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司 100%股权并募集配套资金,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821420,AN202301091581821420,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次重大资产重组采取的保密措施及保密制度的说明,other_business,neutral,1,1,0.0,True,重大资产重组保密措施说明,中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司100%股权并募集配套资金（以下合称“本次交易”）。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821421,AN202301091581821421,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次重组停牌前公司股票价格波动情况的说明,other_business,neutral,1,1,0.0,True,重组停牌前股价波动说明,"""公司股价在本次重组股票停牌前20个交易日内累计涨幅未超过20%，不构成异常波动情况""",0.9,1.0,True,project_investment,1.0,False,adjudicated_sample,codex_assisted_adjudication
C-AN202301091581821401,AN202301091581821401,600038.SH,中直股份,2023-01-10,中直股份:中国国际金融股份有限公司关于中航直升机股份有限公司本次发行股份购买资产并募集配套资金不构成重组上市的核查意见,other_business,neutral,1,1,0.0,True,发行股份购买资产不构成重组上市,本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301091581821418,AN202301091581821418,600038.SH,中直股份,2023-01-10,中直股份:中航直升机股份有限公司董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条规定的说明,other_business,neutral,1,1,0.0,True,重大资产重组合规说明,中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司（以下简称“标的公司”）100%股权并募集配套资金（以下合称“本次交易”）。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202301131581971819,AN202301131581971819,688297.SH,中无人机,2023-01-14,中无人机:中无人机2022年度业绩快报公告,performance,positive,3,2,0.0,True,2022年度业绩快报,"报告期内，公司实现营业收入 277,310.11 万元，同比增长 12.01%",0.9,1.0,True,performance,0.7500000000000001,True,adjudicated_sample,independent_annotator_consensus
C-AN202302071582851573,AN202302071582851573,000099.SZ,中信海直,2023-02-08,中信海直:关于控股子公司海直通航获得2023年通用航空发展专项资金的公告,government_support,positive,3,1,0.8,True,海直通航获2023年通用航空发展专项资金,"""海直通航收到2023年通用航空发展专项资金补贴23,270,000元""",0.9,1.0,True,government_support,1.0,True,adjudicated_sample,codex_assisted_adjudication
C-AN202302081582895316,AN202302081582895316,600038.SH,中直股份,2023-02-09,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,5,0.0,False,重大资产重组,本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202303091584155674,AN202303091584155674,600038.SH,中直股份,2023-03-10,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,3,0.0,False,重大资产重组,"""本次重组所涉及的审计、评估等工作进展顺利……本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准""",0.9,1.0,True,project_investment,1.0,False,adjudicated_sample,codex_assisted_adjudication
C-AN202304071585223869,AN202304071585223869,600038.SH,中直股份,2023-04-08,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,5,0.0,False,重大资产重组进展,本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202304131585425626,AN202304131585425626,600038.SH,中直股份,2023-04-14,中直股份:中航直升机股份有限公司关于重大资产重组涉及军工事项审查获得国家国防科技工业局批复的公告,other_business,neutral,1,1,0.0,True,重大资产重组获国防科工局批复,本次重组预计构成《上市公司重大资产重组管理办法》规定的重大资产重组，亦构成公司关联交易，本次重组不会导致公司实际控制人变更。,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202304271585951470,AN202304271585951470,688070.SH,纵横股份,2023-04-28,纵横股份:国泰君安证券股份有限公司关于成都纵横自动化技术股份有限公司与关联方共同投资设立公司暨关联交易的核查意见,project_investment,positive,3,4,0.8,True,设立大载重无人机子公司,"公司拟与关联方海南纵横云飞创业投资合伙企业（有限合伙）共同出资人民币5,000万元设立成都云龙无人机科技有限公司（暂定名），其中：纵横股份拟认缴货币出资4,000万元，纵横云飞拟认缴货币出资1,000万元。",0.9,0.7250996015936255,False,project_investment,0.55,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202304271585951469,AN202304271585951469,688070.SH,纵横股份,2023-04-28,纵横股份:关于与关联方共同投资设立公司暨关联交易的公告,project_investment,positive,3,4,0.8,True,设立大载重无人机子公司,公司拟与关联方纵横云飞共同出资人民币5000万元设立成都云龙无人机科技有限公司，其中纵横股份拟认缴货币出资4000万元，纵横云飞拟认缴货币出资1000万元。,0.9,0.8,False,project_investment,0.55,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202305081586379930,AN202305081586379930,600038.SH,中直股份,2023-05-09,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,1,0.0,False,重大资产重组进展,本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202306011587464512,AN202306011587464512,688070.SH,纵横股份,2023-06-02,纵横股份:关于新产品研发进展的自愿性披露公告,product_technology,positive,3,4,0.9,True,大载重无人机系统研发进展,顺利完成大载重无人机系统 01 号样机的首次飞行测试,0.9,0.95,True,product_technology,0.55,True,adjudicated_sample,independent_annotator_consensus
C-AN202306081590582489,AN202306081590582489,600038.SH,中直股份,2023-06-09,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,3,0.0,False,重大资产重组,"""本次重组所涉及的尽职调查、审计、评估等相关工作进展顺利……尚需公司董事会再次审议通过后提交公司股东大会审议批准""",0.9,1.0,True,project_investment,1.0,False,adjudicated_sample,codex_assisted_adjudication
C-AN202307071592097503,AN202307071592097503,600038.SH,中直股份,2023-07-08,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,1,0.0,False,重大资产重组,本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202307181592392768,AN202307181592392768,600038.SH,中直股份,2023-07-19,中直股份:中直股份董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条规定情形的说明,other_business,neutral,1,1,0.0,True,重大资产重组合规说明,中航直升机股份有限公司拟发行股份购买中国航空工业集团有限公司、中国航空科技工业股份有限公司合计持有的昌河飞机工业（集团）有限责任公司 100%股权、哈尔滨飞机工业集团有限责任公司 100%股权并发行 A 股股票募集配套资金,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202307181592392771,AN202307181592392771,600038.SH,中直股份,2023-07-19,中直股份:中直股份董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条的说明,other_business,neutral,1,1,0.0,True,重大资产重组合规说明,中航直升机股份有限公司（以下简称“公司”）拟以发行股份方式购买中国航空科技工业股份有限公司（以下简称“中航科工”）与中国航空工业集团有限公司（以下简称“航空工业集团”）所持昌河飞机工业（集团）有限责任公司（以下简称“昌飞集团”）100%的股权和中航科工与航空工业集团所持哈尔滨飞机工业集团有限责任公司（以下简称“哈飞集团”）100%的股权（以下简称“标的资产”），并募集配套资金（以下简称“本次交易”）。,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202307181592392742,AN202307181592392742,600038.SH,中直股份,2023-07-19,中直股份:大华会计师事务所关于中航直升机股份有限公司重大资产重组前发生“业绩变脸”或本次重组存在拟置出资产情形相关事项之专项核查说明,other_business,neutral,1,1,0.0,True,重大资产重组专项核查,"""未发现中直股份公司2020年度至2022年度业绩不真实和会计处理不合规""",0.9,1.0,True,project_investment,0.55,False,adjudicated_sample,codex_assisted_adjudication
C-AN202307181592392752,AN202307181592392752,600038.SH,中直股份,2023-07-19,中直股份:中直股份董事会关于本次重大资产重组履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,other_business,neutral,1,1,0.0,False,重大资产重组程序说明,中航直升机股份有限公司（以下简称“公司”）拟以发行股份方式购买中国航空科技工业股份有限公司（以下简称“中航科工”）所持昌河飞机工业（集团）有限责任公司（以下简称“昌飞集团”）92.43%的股权和哈尔滨飞机工业集团有限责任公司（以下简称“哈飞集团”）80.79%的股权，拟以发行股份方式购买中国航空工业集团有限公司（以下简称“航空工业集团”）所持昌飞集团 7.57%的股权和哈飞集团 19.21%的股权。,0.9,1.0,True,project_investment,0.5,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202307181592392753,AN202307181592392753,600038.SH,中直股份,2023-07-19,中直股份:中航直升机股份有限公司关于本次交易事项的一般风险提示性公告,other_business,neutral,1,5,0.0,True,发行股份购买资产,中航直升机股份有限公司（以下简称“公司”或“本公司”）拟通过发行股份的方式购买中国航空科技工业股份有限公司（以下简称“中航科工”）与中国航空工业集团有限公司（以下简称“航空工业集团”）所持昌河飞机工业（集团）有限责任公司100%的股权和中航科工与航空工业集团所持哈尔滨飞机工业集团有限责任公司100%的股权，并募集配套资金（以下简称“本次交易”）。,0.9,1.0,True,market_risk,0.7500000000000001,False,not_human_reviewed,deepseek_evidence_filtered
C-AN202308081593503549,AN202308081593503549,600038.SH,中直股份,2023-08-09,中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,other_business,neutral,1,5,0.0,False,重大资产重组,本次重组尚需提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性,0.9,1.0,True,project_investment,1.0,False,not_human_reviewed,deepseek_evidence_filtered
