effective_month,train_start,train_end,observations,explained_variance,loading_policy_support,loading_company_sentiment,loading_confidence_balance,loading_signed_breadth
2022-01,2021-01-06,2022-01-18,252,0.794144244860063,0.45079229731126075,0.16810469499037373,0.5702291700463644,0.6658571992816957
2022-02,2021-01-06,2022-01-28,260,0.7985763299763908,0.4403591388091907,0.16565853332557767,0.570853819641699,0.6728796295059982
2022-03,2021-01-06,2022-02-28,276,0.8031335675138843,0.42827464923156633,0.1758973591662757,0.5714997288975968,0.6775167922154273
2022-04,2021-01-06,2022-03-31,299,0.8145028898898237,0.4442948644757112,0.18639028866375829,0.5410585463885637,0.6892868655880839
2022-05,2021-01-06,2022-04-29,318,0.8130055452325363,0.45183972362663494,0.17580486154419062,0.5584577458386826,0.6730961750918013
2022-06,2021-01-06,2022-05-31,337,0.8116183150099217,0.44830834444331,0.17772441205297562,0.5653392621228683,0.6691974150916107
2022-07,2021-01-06,2022-06-30,358,0.8206596741389904,0.4482204641667964,0.18369015469131744,0.5683417385632392,0.6650894757688585
2022-08,2021-01-06,2022-07-29,379,0.8295444938875891,0.46390705655886755,0.18857988580225726,0.552621550656387,0.6662111461810182
2022-09,2021-01-06,2022-08-31,402,0.8303004408527608,0.4783946238181477,0.19725039491866192,0.5402934467326588,0.6635614945308901
2022-10,2021-01-06,2022-09-30,423,0.8174869411582983,0.49486779601176045,0.20948343557832005,0.5495648004201379,0.6396882716041781
2022-11,2021-01-06,2022-10-31,439,0.8091704036172437,0.5062367708724144,0.21773285352492544,0.5543207136358475,0.6237349459079631
2022-12,2021-01-06,2022-11-30,461,0.8068317378438513,0.5201105960886379,0.22848424637524611,0.5519726012712859,0.6104147478890624
2023-01,2021-01-06,2022-12-30,483,0.8191200270881236,0.5383744572669434,0.21982149393476103,0.5460801458600165,0.6030156953714527
2023-02,2021-01-06,2023-01-31,499,0.7971720409170981,0.5678424329816363,0.21747684110940724,0.533157389002518,0.588219341265304
2023-03,2021-01-06,2023-02-28,519,0.7802558262886268,0.6029888537843644,0.1956146548138109,0.5092484506678773,0.5820698965985613
2023-04,2021-01-06,2023-03-31,542,0.7792949113485794,0.6299769304103864,0.17991516723854017,0.4949767017806446,0.5707518413834426
2023-05,2021-01-06,2023-04-28,561,0.780210340742153,0.6459159502858808,0.18145849561357286,0.49077181641920303,0.555885261312569
2023-06,2021-01-06,2023-05-31,581,0.7859484573582544,0.6640664576935932,0.18008109057988242,0.48239589985612447,0.5421076796945816
2023-07,2021-01-06,2023-06-30,601,0.7922393153426464,0.6685467705533968,0.1638416013484466,0.4877030813822414,0.5369793754516721
2023-08,2021-01-06,2023-07-31,622,0.8229193364983014,0.6545590441540062,0.07838457383490194,0.5039702080555701,0.5580522786382468
2023-09,2021-01-06,2023-08-31,645,0.7864334312793544,0.617530676895499,0.0692739576714837,0.5107591692494625,0.5941229274393599
2023-10,2021-01-06,2023-09-28,665,0.7650440134404488,0.5324606642199338,0.08879876916843676,0.5506332608896279,0.6367129900156687
2023-11,2021-01-06,2023-10-31,682,0.7724665773355234,0.46797366526920287,0.10552564209991244,0.5705030689135894,0.6666267590144319
2023-12,2021-01-06,2023-11-30,704,0.7695351786092794,0.3900134858271518,0.12779046095252278,0.5920711688591485,0.6935494286410001
2024-01,2021-01-06,2023-12-29,725,0.7672013501650115,0.3930021550666348,0.13058169568417433,0.5995289147428036,0.6848816009008738
2024-02,2021-01-06,2024-01-31,747,0.8431937230245052,0.39653638083893533,0.13838109287378375,0.6391751673906769,0.6442551336212357
2024-03,2021-01-06,2024-02-29,762,0.8326822857467373,0.3987673911329684,0.14612688585672473,0.6527610630199634,0.627323278385132
2024-04,2021-01-06,2024-03-29,783,0.811522243769834,0.37727758122133737,0.15666081386866093,0.6399170612410012,0.6508649405510073
2024-05,2021-01-06,2024-04-30,803,0.8214068291735612,0.37851377374017836,0.11941328556111108,0.6118014666785131,0.6842271228842737
2024-06,2021-01-06,2024-05-31,823,0.8358722292350471,0.4149124917566165,0.10296616798488334,0.6027818866549638,0.6737207058978575
2024-07,2021-01-06,2024-06-28,842,0.8655477205218646,0.4708299389825848,0.07019152286919172,0.6028653607482388,0.640270002018566
2024-08,2021-01-06,2024-07-31,865,0.8774812033706336,0.5168116463104102,0.034187295053002664,0.6164498787601346,0.5930653404739629
2024-09,2021-01-06,2024-08-30,887,0.8799256470155469,0.5490698711713506,0.005443801268606885,0.6336853807377093,0.5449178652227595
2024-10,2021-01-06,2024-09-30,906,0.8703766062477079,0.5665858558697789,-0.01153173176027511,0.6287087050067017,0.5325155878842569
2024-11,2021-01-06,2024-10-31,924,0.8855684776143059,0.5695441338035836,-0.03409366590876228,0.6180552284781943,0.5408001813475974
2024-12,2021-01-06,2024-11-29,945,0.8745001845310331,0.6024337817962856,-0.05350576796233175,0.6098059233673341,0.5121986012978753
2025-01,2021-01-06,2024-12-31,967,0.8481851204244494,0.6148257458253633,-0.06195662285167769,0.5701001441289673,0.5414208204522916
2025-02,2021-01-06,2025-01-27,985,0.8422236915398438,0.6340404816827341,-0.067660862996759,0.5516906039018644,0.5376357063778942
2025-03,2021-01-06,2025-02-28,1003,0.8308044766954259,0.6187784329126593,-0.0699096907092599,0.5477515796073109,0.5587433159732518
2025-04,2021-01-06,2025-03-31,1024,0.8188281648689645,0.5453255715176839,-0.06451942200107796,0.5812764025359249,0.600478983053072
2025-05,2021-01-06,2025-04-30,1045,0.815386312662787,0.4838054289807903,-0.05994798143222879,0.6077815135258648,0.6268494063386544
2025-06,2021-01-06,2025-05-30,1064,0.8184542938394052,0.43397575356307666,-0.05434607142129122,0.6244423331878314,0.6471347018692241
2025-07,2021-01-06,2025-06-30,1084,0.8165876125687231,0.42788157616317696,-0.05261671958964209,0.6301203431794912,0.6458306207598866
2025-08,2021-01-06,2025-07-31,1107,0.8168174871039804,0.42837469772805653,-0.047714855767380215,0.630655739267251,0.6453617198244493
2025-09,2021-01-06,2025-08-29,1128,0.8189714953900565,0.4311072002798658,-0.04252827514049351,0.6352527818368279,0.6393683061029862
2025-10,2021-01-06,2025-09-30,1150,0.8194449117448621,0.43478416589464824,-0.03762582182664398,0.6393193231827506,0.6331017529783934
2025-11,2021-01-06,2025-10-31,1167,0.8250495056412147,0.43295642735140366,-0.03682851413276067,0.639373170007448,0.6343456014165384
2025-12,2021-01-06,2025-11-28,1187,0.8298769906355093,0.4334211004770154,-0.037051216180313706,0.6450542589893584,0.6282343193431439
2026-01,2021-01-06,2025-12-31,1210,0.8273582785811486,0.443075551276634,-0.03554418647367519,0.6401052815755297,0.6266465472401042
2026-02,2021-01-06,2026-01-30,1230,0.8233512985406126,0.45927291049308755,-0.039167930369043535,0.6388886028625755,0.6159185173788166
2026-03,2021-01-06,2026-02-27,1244,0.8197638194881864,0.4583243762521045,-0.04053757270225744,0.6361449484942437,0.6193666731733186
2026-04,2021-01-06,2026-03-31,1266,0.8137108737835939,0.4684717438762398,-0.03821096065431162,0.6268610186724228,0.6213850746070452
2026-05,2021-01-06,2026-04-30,1287,0.8146159745792464,0.46690636317990625,-0.037479685097490445,0.6286433807941804,0.6208069112137607
2026-06,2021-01-06,2026-05-29,1305,0.8147070246919007,0.465735918746429,-0.035992853705529515,0.6256823576490051,0.6247528757823645
