trade_date,ts_code,name,industry_role,relative_strength_probability,relative_strength_signal,relative_strength_confidence,volatility_jump_probability,volatility_signal,volatility_confidence,event_window_20d,days_since_company_event
2026-06-15,000099.SZ,中信海直,低空运营与通航服务,0.469357527610842,观望,0.030642472389158015,0.3965532495992406,观望,0.1034467504007594,0,343
2026-06-15,000547.SZ,航天发展,电子信息与空天防务系统,0.490450794427429,观望,0.009549205572570996,0.2777346854306949,低波动风险,0.2222653145693051,0,999
2026-06-15,000738.SZ,航发控制,航空发动机控制系统,0.4630126061257426,观望,0.036987393874257424,0.4257984223749033,观望,0.07420157762509672,0,999
2026-06-15,000801.SZ,四川九洲,空管与通信设备,0.4493983218465054,观望,0.05060167815349459,0.4330476580890673,观望,0.06695234191093269,0,37
2026-06-15,001696.SZ,宗申动力,航空动力与无人机产业链,0.386421690826528,弱势回避,0.113578309173472,0.4324305181682929,观望,0.06756948183170708,0,999
2026-06-15,002023.SZ,海特高新,航空维修与模拟训练,0.4652710711152196,观望,0.03472892888478041,0.2019882699482307,低波动风险,0.2980117300517693,0,999
2026-06-15,002025.SZ,航天电器,航空航天连接器与继电器,0.457059159216981,观望,0.04294084078301902,0.2225864581908678,低波动风险,0.2774135418091322,0,999
2026-06-15,002085.SZ,万丰奥威,通航飞机与零部件,0.4585661841411407,观望,0.0414338158588593,0.4013345148649931,观望,0.09866548513500689,0,297
2026-06-15,002111.SZ,威海广泰,机场地面设备与无人装备,0.5728854279496481,观望,0.07288542794964814,0.5863766811922391,高波动风险,0.08637668119223907,0,999
2026-06-15,002151.SZ,北斗星通,北斗导航与定位,0.521769440852733,观望,0.021769440852733024,0.3445605550610391,低波动风险,0.1554394449389609,0,999
2026-06-15,002179.SZ,中航光电,航空连接器与电子互连,0.4608651048629126,观望,0.0391348951370874,0.4546157772363564,观望,0.04538422276364362,0,999
2026-06-15,002389.SZ,航天彩虹,无人机整机与应用,0.4872335946078919,观望,0.012766405392108104,0.5703352495747019,高波动风险,0.07033524957470194,0,86
2026-06-15,002413.SZ,雷科防务,雷达感知与智能控制,0.5616870876773884,观望,0.0616870876773884,0.4823056871119308,观望,0.01769431288806922,0,999
2026-06-15,002414.SZ,高德红外,红外探测与载荷设备,0.4422560726412596,观望,0.0577439273587404,0.642190992715288,高波动风险,0.142190992715288,0,999
2026-06-15,002465.SZ,海格通信,通信导航与北斗应用,0.4950778542280891,观望,0.004922145771910913,0.1265676345404824,低波动风险,0.37343236545951763,0,999
2026-06-15,002544.SZ,普天科技,通信网络与智慧应用,0.5542669761005449,观望,0.05426697610054487,0.4399337727214609,观望,0.06006622727853911,0,999
2026-06-15,002708.SZ,光洋股份,航空零部件,0.5422054173200136,观望,0.042205417320013594,0.338422621943825,低波动风险,0.161577378056175,0,999
2026-06-15,002829.SZ,星网宇达,惯性导航与无人系统,0.4947865612550823,观望,0.005213438744917698,0.2308765121046156,低波动风险,0.26912348789538443,0,999
2026-06-15,300034.SZ,钢研高纳,航空高温合金与材料,0.4499808422956242,观望,0.050019157704375816,0.3717142870995364,观望,0.1282857129004636,0,999
2026-06-15,300036.SZ,超图软件,地理信息系统与数字底座,0.5174566762502212,观望,0.01745667625022118,0.4847391651911845,观望,0.015260834808815515,0,999
2026-06-15,300045.SZ,华力创通,卫星导航与通信,0.5594055135298751,观望,0.05940551352987511,0.345602346287444,低波动风险,0.15439765371255598,0,999
2026-06-15,300053.SZ,航宇微,卫星遥感与宇航电子,0.5037612909253281,观望,0.0037612909253280646,0.319337446416469,低波动风险,0.180662553583531,0,999
2026-06-15,300101.SZ,振芯科技,北斗导航与集成电路,0.5426627677339244,观望,0.04266276773392441,0.4362474444866761,观望,0.06375255551332393,0,999
2026-06-15,300177.SZ,中海达,高精度定位与三维地理信息,0.5582885184296469,观望,0.058288518429646885,0.4840752751982548,观望,0.015924724801745227,0,999
2026-06-15,300213.SZ,佳讯飞鸿,指挥调度与通信系统,0.5766911579707084,观望,0.07669115797070836,0.4971056166737753,观望,0.0028943833262247143,0,999
2026-06-15,300284.SZ,苏交科,低空交通规划与工程咨询,0.468374873600657,观望,0.031625126399343007,0.5423063790800569,观望,0.042306379080056855,0,999
2026-06-15,300424.SZ,航新科技,航空维修与机载检测,0.4904427493408754,观望,0.009557250659124605,0.2284984914230164,低波动风险,0.27150150857698363,0,999
2026-06-15,300455.SZ,航天智装,航天智能装备与测控,0.4813001202621486,观望,0.01869987973785142,0.3981006713951533,观望,0.10189932860484668,0,999
2026-06-15,300456.SZ,赛微电子,MEMS传感器与惯性器件,0.5902588651011201,观望,0.09025886510112013,0.1948913349275956,低波动风险,0.3051086650724044,0,999
2026-06-15,300581.SZ,晨曦航空,航空惯性导航与控制,0.3751434339384145,弱势回避,0.12485656606158552,0.2798883838076774,低波动风险,0.2201116161923226,0,999
2026-06-15,300627.SZ,华测导航,高精度定位与导航,0.4881069752120938,观望,0.011893024787906215,0.3581067409521455,观望,0.1418932590478545,0,999
2026-06-15,300696.SZ,爱乐达,航空零部件精密制造,0.49053421129346,观望,0.009465788706540024,0.4385432717994935,观望,0.061456728200506516,0,999
2026-06-15,300719.SZ,安达维尔,机载设备与航空维修,0.4615856091429189,观望,0.03841439085708109,0.3108347630076824,低波动风险,0.18916523699231758,0,999
2026-06-15,300722.SZ,新余国科,无人装备与火工品配套,0.4502205069017718,观望,0.04977949309822821,0.5663938227515852,高波动风险,0.06639382275158523,0,999
2026-06-15,300762.SZ,上海瀚讯,宽带通信与指挥调度,0.4862052642210983,观望,0.013794735778901723,0.3798222352422994,观望,0.12017776475770059,0,999
2026-06-15,300775.SZ,三角防务,航空锻件与结构件,0.4723276551624962,观望,0.027672344837503804,0.4237901535314871,观望,0.07620984646851292,0,999
2026-06-15,300900.SZ,广联航空,航空复合材料与无人机零部件,0.542518797743921,观望,0.04251879774392098,0.2819760811060173,低波动风险,0.2180239188939827,0,515
2026-06-15,301050.SZ,雷电微力,毫米波雷达与探测系统,0.4865634390555178,观望,0.013436560944482201,0.3657106159031123,观望,0.13428938409688768,0,999
2026-06-15,301091.SZ,深城交,低空交通规划与数字基础设施,0.5316068304663213,观望,0.03160683046632129,0.6230489108510548,高波动风险,0.12304891085105485,0,999
2026-06-15,600038.SH,中直股份,直升机制造,0.4322205281173146,观望,0.0677794718826854,0.5321153954088903,观望,0.0321153954088903,0,593
2026-06-15,600118.SH,中国卫星,卫星导航与遥感应用,0.5552773532848811,观望,0.05527735328488115,0.3006848457019796,低波动风险,0.19931515429802038,0,999
2026-06-15,600316.SH,洪都航空,航空整机制造,0.5234969057371525,观望,0.023496905737152463,0.6988476541332441,高波动风险,0.19884765413324412,0,999
2026-06-15,600372.SH,中航机载,机载系统与航空电子,0.5100674826496124,观望,0.010067482649612436,0.4800484947722554,观望,0.01995150522774458,0,999
2026-06-15,600562.SH,国睿科技,雷达与空管电子系统,0.5752190471690932,观望,0.07521904716909322,0.6431127336755438,高波动风险,0.14311273367554378,0,999
2026-06-15,600760.SH,中航沈飞,航空整机制造,0.4489252988417995,观望,0.05107470115820051,0.508109730010847,观望,0.008109730010847027,0,999
2026-06-15,600843.SH,上工申贝,航空制造相关资产,0.4550577720110398,观望,0.04494222798896019,0.3776953249834252,观望,0.12230467501657483,0,999
2026-06-15,600879.SH,航天电子,航天电子与无人系统配套,0.5953584795029295,观望,0.09535847950292953,0.3904041412797023,观望,0.1095958587202977,0,888
2026-06-15,600893.SH,航发动力,航空发动机,0.5166483569664615,观望,0.016648356966461497,0.4635581305517542,观望,0.03644186944824579,0,999
2026-06-15,688066.SH,航天宏图,遥感数据与空天信息应用,0.4079179499514971,观望,0.0920820500485029,0.4505257286790958,观望,0.049474271320904206,0,999
2026-06-15,688070.SH,纵横股份,工业无人机,0.5164122878383145,观望,0.0164122878383145,0.4924052552451427,观望,0.007594744754857274,0,105
2026-06-15,688239.SH,航宇科技,航空发动机环锻件,0.5331205942884544,观望,0.033120594288454375,0.3911571298483117,观望,0.10884287015168831,0,999
2026-06-15,688282.SH,理工导航,惯性导航系统,0.5169676753561403,观望,0.0169676753561403,0.6603197142244319,高波动风险,0.16031971422443192,0,999
2026-06-15,688297.SH,中无人机,无人机整机,0.4594354218858854,观望,0.040564578114114624,0.4292233497033632,观望,0.07077665029663682,0,71
2026-06-15,688375.SH,国博电子,有源相控阵与射频芯片,0.4925843044555976,观望,0.007415695544402412,0.4927774459139618,观望,0.007222554086038224,0,999
2026-06-15,688523.SH,航天环宇,航空航天复合材料与通信产品,0.560322723895599,观望,0.060322723895599006,0.3416178724658141,低波动风险,0.1583821275341859,0,999
2026-06-15,688568.SH,中科星图,数字地球与遥感应用,0.5749052311815257,观望,0.0749052311815257,0.622916430415971,高波动风险,0.122916430415971,0,999
2026-06-15,688586.SH,江航装备,航空机载设备与保障装备,0.5159546207739,观望,0.015954620773899975,0.2653070529556985,低波动风险,0.2346929470443015,0,999
2026-06-15,688631.SH,莱斯信息,空管系统与低空基础设施,0.4632109493972633,观望,0.036789050602736684,0.4926514166048958,观望,0.007348583395104191,0,999
2026-06-15,688685.SH,迈信林,航空航天精密零部件,0.5092478636239836,观望,0.009247863623983554,0.3051154583813062,低波动风险,0.19488454161869379,0,999
